s/w_ratio,snippets,words,volid,date,author,title
0.00025532675441396126,20,78331,uc2.ark:/13960/t2g739f4q,1916,"Bower, B. M.",The flying-u's last stand
0.0002552062066149449,20,78368,00010543,1938,"Carr, John Dickson",To wake the dead
0.00025516713447307985,15,58785,uc1.b3324339,1907,"Hornung, E. W.",Stingaree
0.0002549102078792745,20,78459,nyp.33433075744247,1915,"Bower, B. M.,",The Flying U's last stand
0.0002547294772951126,15,58886,00010811,1946,"Dent, Lester",Dead at the take-off
0.0002543135490433898,65,255590,mdp.39015008358619,1906,"Dickens, Charles,",Barnaby Rudge
0.0002541270228511019,50,196752,uc2.ark:/13960/t5k93d972,1903,"Collins, Wilkie,",The moonstone
0.00025385312783318226,21,82725,nyp.33433076053325,1918,"Post, Melville Davisson,","Uncle Abner, master of mysteries"
0.00025377300750869543,17,66989,00010756,1944,"Powell, Richard",All over but the shooting
0.00025334942847349517,17,67101,mdp.39015005769859,1919,"Hergesheimer, Joseph,",Java Head
0.00025326917180980816,19,75019,uiuo.ark:/13960/t79s2s251,1902,"Eggleston, George Cary,",The bale marked Circle X
0.000252963284186181,21,83016,00010265,1926,"Van Dine, S. S",The Benson murder case
0.00025247971145175835,21,83175,nyp.33433075744841,1901,"Orcutt, Emma Louise.",Esther Mather
0.0002520411514461816,33,130931,00010751,1944,"MacInnes, Helen",Rest and be thankful
0.00025123438116870134,98,390074,00010903,1948,"Lockridge, Ross",Raintree County
0.0002506705437044093,30,119679,nyp.33433075830889,1903,"Kock, Paul de,",The barber of Paris
0.0002506531442508845,26,103729,mdp.39015029764308,1905,"Mitchell, S. Weir",In war time
0.0002505512126678693,25,99780,00010615,1940,"Latimer, Jonathan",Dark memory
0.0002502467711215226,18,71929,00010898,1948,"Heinlein, Robert A.",Space cadet
0.00025003125390673836,18,71991,wu.89082454463,1908,"Plummer, Mary Wright,",Roy and Ray in Canada
0.00024949321690316545,16,64130,nyp.33433076061823,1921,"Widdemer, Margaret.",The year of Delight
0.00024933381122313816,16,64171,uc2.ark:/13960/t6nz83j89,1909,"Hart, Caroline.","Lil, the dancing girl"
0.0002487076086763426,14,56291,uc2.ark:/13960/t6930wh0r,1900,"Raymond, Walter,","""Love and quiet life"""
0.0002485151221451825,20,80478,00010686,1942,"Rawson, Clayton",No coffin for the corpse
0.00024830139274508475,22,88602,00010600,1940,"Clark, Walter Van Tilburg",The Ox-Bow incident
0.00024827372177826056,80,322225,00010724,1943,"Rand, Ayn",The fountainhead
0.00024793388429752067,15,60500,00010892,1948,"Dent, Lester",Lady afraid
0.0002472323709584375,9,36403,00010421,1933,"Steinbeck, John",The red pony
0.00024709661477637757,17,68799,00010402,1933,"Caldwell, Erskine",God's little acre
0.0002468765705317545,28,113417,nyp.33433075861959,1920,"Wylie, I. A. R.",Children of storm
0.0002467261339912697,13,52690,00010336,1930,"Kline, Otis Adelbert",Maza of the moon
0.00024668516805427076,8,32430,uc2.ark:/13960/fk5v698m1s,1912,"Baldwin, James,",Fifty famous people
0.0002466091245376079,23,93265,uc2.ark:/13960/t14m95v3n,1909,"Haggard, H. Rider","The yellow god, an idol of Africa"
0.0002462717197975099,18,73090,00010252,1926,"Brand, Max",The white wolf
0.00024605833475290065,13,52833,00010822,1946,"Miller, Wade",Deadly weapon
0.0002459285167777899,18,73192,njp.32101063606857,1919,"Kirby, Elizabeth.",Little Miss Muffet
0.00024591996422982336,22,89460,uc1.32106001615688,1906,"Peretz, Isaac Leib,",Stories and pictures
0.0002458210422812193,12,48816,uc2.ark:/13960/t9z034017,1904,"Besant, Walter,",By Celia's arbour
0.0002445476979168982,22,89962,00010799,1946,"Arnold, Francena H.",Not my will
0.0002445035599718332,25,102248,uc2.ark:/13960/t6348h09b,1908,"Durham, Robert Lee,",The call of the South
0.0002441483161641937,31,126972,00010567,1938,"Wharton, Edith",The buccaneers
0.0002433445271815837,15,61641,mdp.39015065767645,1923,"Jacobs, Joseph,",Celtic fairy tales
0.0002432350258437215,8,32890,mdp.39015030198629,1901,"Watanna, Onoto,",A Japanese nightingale
0.00024306548470117245,17,69940,uc2.ark:/13960/t10p0zd2w,1913,"Brady, Cyrus Townsend,",The island of the stairs
0.0002426536604304676,20,82422,nyp.33433074944590,1914,"Cross, Victoria.",The night of temptation
0.00024247233611074373,11,45366,mdp.39015063930419,1909,"King, Charles,",Waring's peril
0.00024246416791329846,53,218589,00010833,1946,"Warren, Robert Penn",All the king's men
0.00024223502180115196,45,185770,00010640,1941,"Gordon, Caroline",Green centuries
0.00024199632734985552,17,70249,00010844,1947,"Coxe, George Harmon",Fashioned for murder
0.00024193343010670538,19,78534,00010637,1941,"Fast, Howard",The last frontier
0.0002416716240333135,39,161376,uc2.ark:/13960/t5n87dw5h,1905,"Thackeray, William Makepeace,","The history of Henry Esmond, esq., a colonel in the service of Her Majesty Queen Anne"
0.0002408703448460437,18,74729,uva.x030742698,1909,"Douglas, Hudson.",Beyond the skyline
0.00024077718688497133,23,95524,00010757,1944,"Ross, Lillian Bos",Blaze Allan
0.00024045686804929366,12,49905,uc1.b3327422,1904,"Sheringham, H. T.",The court of Sacharissa
0.00024021962937542896,14,58280,mdp.39015002715194,1919,"Richardson, Dorothy M.",Interim
0.00024017557662843182,29,120745,uc2.ark:/13960/t4cn7056n,1910,"Herrick, Robert,",A life for a life
0.00024003120405652735,16,66658,nyp.33433076089550,1910,"Goodrich, Arthur Frederick,",The yardstick man
0.0002395950843075203,24,100169,nyp.33433074941885,1916,"Castle, Agnes,",Wind's will
0.00023945882305988466,12,50113,uc2.ark:/13960/t3mw2bz70,1905,"Mérimée, Prosper,",The writings of Prosper Mérimée
0.00023831511215704966,16,67138,uc2.ark:/13960/t3222s93p,1902,"Smith, Francis Hopkinson,","The novels, stories and sketches of F. Hopkinson Smith"
0.00023743043288316522,25,105294,njp.32101063580136,1921,"Aminoff, Léonie,",Revolution
0.00023620652323681673,12,50803,00010399,1933,"Brand, Max",Valley thieves
0.00023538273232275682,15,63726,00010565,1938,"Taylor, Phoebe Atwood",Murder at the New York World's Fair
0.00023530949735276816,18,76495,uc1.b3324446,1903,"King, Charles,",A daughter of the Sioux;
0.0002352111019640127,16,68024,00010243,1925,"Hill, Grace Livingston",Ariel Custer
0.00023437630790350392,14,59733,00010891,1948,"Crane, Frances",Black Cypress
0.00023363879442382077,18,77042,uc2.ark:/13960/t4jm24m7x,1903,"Norris, Frank,",Complete works of Frank Norris
